# Muv pLya L_Lya
-1.950000000000000000e+01 5.948946942973571648e-42 0.000000000000000000e+00
-1.950000000000000000e+01 3.994996498725901517e-43 2.787818832319787294e+39
-1.950000000000000000e+01 3.994993611822626899e-43 2.790387948210432960e+39
-1.950000000000000000e+01 3.994990722244788332e-43 2.792959431664554826e+39
-1.950000000000000000e+01 3.994987829992404138e-43 2.795533284871731529e+39
-1.950000000000000000e+01 3.994984935065473520e-43 2.798109510015985485e+39
-1.950000000000000000e+01 3.994982037503948834e-43 2.800688109281338508e+39
-1.950000000000000000e+01 3.994979137227943688e-43 2.803269084851813011e+39
-1.950000000000000000e+01 3.994976234317358812e-43 2.805852438928104313e+39
-1.950000000000000000e+01 3.994973328732247425e-43 2.808438173694233016e+39
-1.950000000000000000e+01 3.994970420432677086e-43 2.811026291345336399e+39
-1.950000000000000000e+01 3.994967509458588202e-43 2.813616794076551744e+39
-1.950000000000000000e+01 3.994964595809997500e-43 2.816209684083016330e+39
-1.950000000000000000e+01 3.994961679486906574e-43 2.818804963576538524e+39
-1.950000000000000000e+01 3.994958760449372627e-43 2.821402634746696966e+39
-1.950000000000000000e+01 3.994955838737351200e-43 2.824002699799744403e+39
-1.950000000000000000e+01 3.994952914310902682e-43 2.826605160947489205e+39
-1.950000000000000000e+01 3.994949987209973057e-43 2.829210020396182304e+39
-1.950000000000000000e+01 3.994947057394624308e-43 2.831817280352075846e+39
-1.950000000000000000e+01 3.994944124864865991e-43 2.834426943032536234e+39
-1.950000000000000000e+01 3.994941189660641702e-43 2.837039010643814404e+39
-1.950000000000000000e+01 3.994938251742027760e-43 2.839653485414390413e+39
-1.950000000000000000e+01 3.994935311109009828e-43 2.842270369550517011e+39
-1.950000000000000000e+01 3.994932367761606225e-43 2.844889665275116824e+39
-1.950000000000000000e+01 3.994929421699815359e-43 2.847511374816671120e+39
-1.950000000000000000e+01 3.994926472923651568e-43 2.850135500398102526e+39
-1.950000000000000000e+01 3.994923521433114055e-43 2.852762044242335481e+39
-1.950000000000000000e+01 3.994920567228212379e-43 2.855391008577849440e+39
-1.950000000000000000e+01 3.994917610269001353e-43 2.858022395638684312e+39
-1.950000000000000000e+01 3.994914650595433332e-43 2.860656207653318341e+39
-1.950000000000000000e+01 3.994911688207525045e-43 2.863292446855791436e+39
-1.950000000000000000e+01 3.994908723105271711e-43 2.865931115491254743e+39
-1.950000000000000000e+01 3.994905755208788534e-43 2.868572215793748170e+39
-1.950000000000000000e+01 3.994902784637921428e-43 2.871215750002866036e+39
-1.950000000000000000e+01 3.994899811272833240e-43 2.873861720358203868e+39
-1.950000000000000000e+01 3.994896835193427885e-43 2.876510129110470848e+39
-1.950000000000000000e+01 3.994893856359765753e-43 2.879160978510377971e+39
-1.950000000000000000e+01 3.994890874811796012e-43 2.881814270797519556e+39
-1.950000000000000000e+01 3.994887890469633068e-43 2.884470008228163426e+39
-1.950000000000000000e+01 3.994884903413176854e-43 2.887128193053019971e+39
-1.950000000000000000e+01 3.994881913562534607e-43 2.889788827533912635e+39
-1.950000000000000000e+01 3.994878920997614223e-43 2.892451913921553016e+39
-1.950000000000000000e+01 3.994875925638522939e-43 2.895117454477764556e+39
-1.950000000000000000e+01 3.994872927525214706e-43 2.897785451464371302e+39
-1.950000000000000000e+01 3.994869926657696690e-43 2.900455907143199113e+39
-1.950000000000000000e+01 3.994866923035972876e-43 2.903128823781628862e+39
-1.950000000000000000e+01 3.994863916620104448e-43 2.905804203652600066e+39
-1.950000000000000000e+01 3.994860907410098577e-43 2.908482049017937373e+39
-1.950000000000000000e+01 3.994857895485848024e-43 2.911162362150580299e+39
-1.950000000000000000e+01 3.994854880727525195e-43 2.913845145329024581e+39
-1.950000000000000000e+01 3.994851863215033208e-43 2.916530400831766562e+39
-1.950000000000000000e+01 3.994848842908422098e-43 2.919218130926190137e+39
-1.950000000000000000e+01 3.994845819847653778e-43 2.921908337907460923e+39
-1.950000000000000000e+01 3.994842793952835486e-43 2.924601024042962815e+39
-1.950000000000000000e+01 3.994839765303865560e-43 2.927296191627863243e+39
-1.950000000000000000e+01 3.994836733820861592e-43 2.929993842946215980e+39
-1.950000000000000000e+01 3.994833699583717939e-43 2.932693980287632838e+39
-1.950000000000000000e+01 3.994830662552501362e-43 2.935396605941724418e+39
-1.950000000000000000e+01 3.994827622687265081e-43 2.938101722198102530e+39
-1.950000000000000000e+01 3.994824580027964638e-43 2.940809331363048259e+39
-1.950000000000000000e+01 3.994821534574607202e-43 2.943519435720617797e+39
-1.950000000000000000e+01 3.994818486287249977e-43 2.946232037577092833e+39
-1.950000000000000000e+01 3.994815435205847706e-43 2.948947139233199436e+39
-1.950000000000000000e+01 3.994812381330409949e-43 2.951664742995220505e+39
-1.950000000000000000e+01 3.994809324620989129e-43 2.954384851163882109e+39
-1.950000000000000000e+01 3.994806265077593212e-43 2.957107466051024578e+39
-1.950000000000000000e+01 3.994803202740182519e-43 2.959832589962930206e+39
-1.950000000000000000e+01 3.994800137568807881e-43 2.962560225216997358e+39
-1.950000000000000000e+01 3.994797069563478856e-43 2.965290374125066363e+39
-1.950000000000000000e+01 3.994793998724205002e-43 2.968023038998976949e+39
-1.950000000000000000e+01 3.994790925050989506e-43 2.970758222167241739e+39
-1.950000000000000000e+01 3.994787848583784724e-43 2.973495925941701668e+39
-1.950000000000000000e+01 3.994784769242706654e-43 2.976236152645310720e+39
-1.950000000000000000e+01 3.994781687067706856e-43 2.978978904612139559e+39
-1.950000000000000000e+01 3.994778602058794091e-43 2.981724184159584736e+39
-1.950000000000000000e+01 3.994775514176027155e-43 2.984471993621716309e+39
-1.950000000000000000e+01 3.994772423459354423e-43 2.987222335332603731e+39
-1.950000000000000000e+01 3.994769329908787044e-43 2.989975211620760232e+39
-1.950000000000000000e+01 3.994766233524330595e-43 2.992730624820253453e+39
-1.950000000000000000e+01 3.994763134226100278e-43 2.995488577276268918e+39
-1.950000000000000000e+01 3.994760032093992044e-43 2.998249071322876687e+39
-1.950000000000000000e+01 3.994756927128014652e-43 3.001012109299701830e+39
-1.950000000000000000e+01 3.994753819288231680e-43 3.003777693563045342e+39
-1.950000000000000000e+01 3.994750708574642330e-43 3.006545826446975467e+39
-1.950000000000000000e+01 3.994747594987258550e-43 3.009316510307790782e+39
-1.950000000000000000e+01 3.994744478526083528e-43 3.012089747490675604e+39
-1.950000000000000000e+01 3.994741359191129210e-43 3.014865540357486546e+39
-1.950000000000000000e+01 3.994738236982398783e-43 3.017643891253407926e+39
-1.950000000000000000e+01 3.994735111899897824e-43 3.020424802540296960e+39
-1.950000000000000000e+01 3.994731983903685127e-43 3.023208276580006032e+39
-1.950000000000000000e+01 3.994728853073670184e-43 3.025994315728837343e+39
-1.950000000000000000e+01 3.994725719329956249e-43 3.028782922354204335e+39
-1.950000000000000000e+01 3.994722582672548897e-43 3.031574098817961204e+39
-1.950000000000000000e+01 3.994719443181360009e-43 3.034367847498636253e+39
-1.950000000000000000e+01 3.994716300736544467e-43 3.037164170758087304e+39
-1.950000000000000000e+01 3.994713155418011759e-43 3.039963070969282814e+39
-1.950000000000000000e+01 3.994710007225760295e-43 3.042764550505196071e+39
-1.950000000000000000e+01 3.994706856079910054e-43 3.045568611749910396e+39
-1.950000000000000000e+01 3.994703702060354598e-43 3.048375257076397868e+39
-1.950000000000000000e+01 3.994700545127161483e-43 3.051184488874299240e+39
-1.950000000000000000e+01 3.994697385280331507e-43 3.053996309516586593e+39
-1.950000000000000000e+01 3.994694222519879804e-43 3.056810721392904303e+39
-1.950000000000000000e+01 3.994691056845796814e-43 3.059627726892891914e+39
-1.950000000000000000e+01 3.994687888218164435e-43 3.062447328406193199e+39
-1.950000000000000000e+01 3.994684716716865074e-43 3.065269528322451324e+39
-1.950000000000000000e+01 3.994681542262026679e-43 3.068094329042423720e+39
-1.950000000000000000e+01 3.994678364893591249e-43 3.070921732955751741e+39
-1.950000000000000000e+01 3.994675184611569140e-43 3.073751742463194025e+39
-1.950000000000000000e+01 3.994672001376022334e-43 3.076584359971065430e+39
-1.950000000000000000e+01 3.994668815186960390e-43 3.079419587880120969e+39
-1.950000000000000000e+01 3.994665626084330883e-43 3.082257428591120485e+39
-1.950000000000000000e+01 3.994662434028195001e-43 3.085097884515934460e+39
-1.950000000000000000e+01 3.994659239018567080e-43 3.087940958066434579e+39
-1.950000000000000000e+01 3.994656041095394697e-43 3.090786651654494345e+39
-1.950000000000000000e+01 3.994652840178789071e-43 3.093634967691983630e+39
-1.950000000000000000e+01 3.994649636348654118e-43 3.096485908590775938e+39
-1.950000000000000000e+01 3.994646429565056598e-43 3.099339476779414041e+39
-1.950000000000000000e+01 3.994643219788048139e-43 3.102195674680885097e+39
-1.950000000000000000e+01 3.994640007097527080e-43 3.105054504707060792e+39
-1.950000000000000000e+01 3.994636791413615793e-43 3.107915969292043148e+39
-1.950000000000000000e+01 3.994633572776267428e-43 3.110780070858816902e+39
-1.950000000000000000e+01 3.994630351145536003e-43 3.113646811841483469e+39
-1.950000000000000000e+01 3.994627126561375468e-43 3.116516194668587439e+39
-1.950000000000000000e+01 3.994623899023801751e-43 3.119388221779787054e+39
-1.950000000000000000e+01 3.994620668452921295e-43 3.122262895603626902e+39
-1.950000000000000000e+01 3.994617434968581608e-43 3.125140218590879487e+39
-1.950000000000000000e+01 3.994614198450957483e-43 3.128020193175645013e+39
-1.950000000000000000e+01 3.994610958979941685e-43 3.130902821797582330e+39
-1.950000000000000000e+01 3.994607716515593806e-43 3.133788106913022581e+39
-1.950000000000000000e+01 3.994604471057928184e-43 3.136676050961624010e+39
-1.950000000000000000e+01 3.994601222606948005e-43 3.139566656399716549e+39
-1.950000000000000000e+01 3.994597971162660438e-43 3.142459925672516481e+39
-1.950000000000000000e+01 3.994594716725073449e-43 3.145355861241909961e+39
-1.950000000000000000e+01 3.994591459254244240e-43 3.148254465558671911e+39
